,value,time,device
199,26,1650980857,AHT10temp
200,26,1650981458,AHT10temp
201,26,1650982059,AHT10temp
202,26,1650982660,AHT10temp
203,26,1650983261,AHT10temp
204,26,1650983862,AHT10temp
205,26,1650984463,AHT10temp
206,26,1650985064,AHT10temp
207,26,1650985665,AHT10temp
208,26,1650986267,AHT10temp
209,26,1650986868,AHT10temp
210,26,1650987469,AHT10temp
211,26,1650988070,AHT10temp
212,26,1650988671,AHT10temp
213,26,1650989272,AHT10temp
214,26,1650989873,AHT10temp
215,26,1650990474,AHT10temp
216,26,1650991075,AHT10temp
217,26,1650991677,AHT10temp
218,26,1650992278,AHT10temp
219,26,1650992879,AHT10temp
220,26,1650993480,AHT10temp
221,26,1650994081,AHT10temp
222,26,1650994682,AHT10temp
223,26,1650995283,AHT10temp
224,26,1650995884,AHT10temp
225,26,1650996486,AHT10temp
226,26,1650997087,AHT10temp
227,26,1650997688,AHT10temp
228,27,1650998289,AHT10temp
229,27,1650998890,AHT10temp
230,27,1650999491,AHT10temp
231,27,1651000092,AHT10temp
232,27,1651000693,AHT10temp
233,27,1651001294,AHT10temp
234,27,1651001895,AHT10temp
235,27,1651002497,AHT10temp
236,27,1651003098,AHT10temp
237,27,1651003699,AHT10temp
238,27,1651004300,AHT10temp
239,27,1651004901,AHT10temp
240,27,1651005502,AHT10temp
241,27,1651006103,AHT10temp
242,27,1651006704,AHT10temp
243,27,1651007305,AHT10temp
244,27,1651007907,AHT10temp
245,27,1651008508,AHT10temp
246,27,1651009109,AHT10temp
247,27,1651009710,AHT10temp
248,27,1651010311,AHT10temp
249,27,1651010912,AHT10temp
250,27,1651011514,AHT10temp
251,27,1651012115,AHT10temp
252,27,1651012716,AHT10temp
253,27,1651013317,AHT10temp
254,27,1651013918,AHT10temp
255,27,1651014519,AHT10temp
256,27,1651015121,AHT10temp
257,27,1651015722,AHT10temp
258,27,1651016323,AHT10temp
259,27,1651016924,AHT10temp
260,27,1651017525,AHT10temp
261,27,1651018126,AHT10temp
262,27,1651018727,AHT10temp
263,27,1651019328,AHT10temp
264,27,1651019929,AHT10temp
265,27,1651020531,AHT10temp
266,27,1651021132,AHT10temp
267,27,1651021733,AHT10temp
268,27,1651022334,AHT10temp
269,27,1651022935,AHT10temp
270,27,1651023536,AHT10temp
271,27,1651024137,AHT10temp
272,27,1651024738,AHT10temp
273,27,1651025339,AHT10temp
274,27,1651025941,AHT10temp
275,27,1651026542,AHT10temp
276,27,1651027143,AHT10temp
277,27,1651027744,AHT10temp
278,27,1651028345,AHT10temp
279,27,1651028946,AHT10temp
280,27,1651029547,AHT10temp
281,27,1651030148,AHT10temp
282,27,1651030749,AHT10temp
283,27,1651031351,AHT10temp
284,27,1651031952,AHT10temp
285,27,1651032553,AHT10temp
286,27,1651033154,AHT10temp
287,27,1651033755,AHT10temp
288,27,1651034356,AHT10temp
289,27,1651034957,AHT10temp
290,27,1651035558,AHT10temp
291,27,1651036159,AHT10temp
292,27,1651036761,AHT10temp
293,27,1651037362,AHT10temp
294,27,1651037963,AHT10temp
295,27,1651038564,AHT10temp
296,27,1651039165,AHT10temp
297,27,1651039766,AHT10temp
298,27,1651040367,AHT10temp
299,27,1651040968,AHT10temp
300,27,1651041569,AHT10temp
301,27,1651042171,AHT10temp
302,27,1651042772,AHT10temp
303,27,1651043373,AHT10temp
304,27,1651043975,AHT10temp
305,27,1651044576,AHT10temp
306,27,1651045177,AHT10temp
307,27,1651045778,AHT10temp
308,27,1651046379,AHT10temp
309,27,1651046980,AHT10temp
310,27,1651047581,AHT10temp
311,27,1651048182,AHT10temp
312,27,1651048784,AHT10temp
313,27,1651049385,AHT10temp
314,27,1651049986,AHT10temp
315,27,1651050587,AHT10temp
316,27,1651051188,AHT10temp
317,27,1651051789,AHT10temp
318,27,1651052390,AHT10temp
319,27,1651052991,AHT10temp
320,27,1651053592,AHT10temp
321,27,1651054194,AHT10temp
322,27,1651054795,AHT10temp
323,27,1651055396,AHT10temp
324,27,1651055997,AHT10temp
325,27,1651056598,AHT10temp
326,27,1651057199,AHT10temp
327,27,1651057800,AHT10temp
